id,transaction_no,line,item,qty,unit,delivered,remain_qty,po_no,warehouse_option,delivery_date,status,description
194,12322,2,Heveya Hospitality Mattress - King (W180cm x L200cm),1,Pcs,1,0,,warehouse,,open,
195,12322,3,Heveya Natural Organic Latex Mattress III -  Super King (W200cm x L200cm) - Medium,1,Pcs,0,1,,showroom,,open,
196,11719,1,Heveya Natural Organic Latex  Mattress  II  -  King (W180cm x L200cm) - Medium,1,Pcs,0,1,,pending_wh,,open,
197,11719,2,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,2,Pcs,0,2,,pending_wh,,open,
198,11719,3,Bamboo Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Blush Mauve,1,Set,0,1,,pending_wh,,open,
199,11719,4,Linen Fitted Sheet Set + 2 Pillow Cases  - King (180cm x 200cm) - Charcoal Grey,1,Set,0,1,,pending_wh,,open,
200,11719,5,Heveya Pillow Bags,1,Pcs,0,1,,pending_wh,,open,
201,13444,1,Heveya Ombre Cotton - 224cm x 122cm - Throw Indigo,1,Pcs,1,0,,,,open,
202,13444,2,Bamboo Sheet Box,1,Pcs,1,0,,,,open,
203,13442,1,Heveya Bamboo Eyemask - Grey,1,Pcs,1,0,,,,open,
204,13442,2,Paper Bag,1,Pcs,1,0,,,,open,
205,13441,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,2,Pcs,2,0,,,,open,
206,13440,1,Heveya Mattress Protector - King (180cm x 200cm),1,Pcs,1,0,,,,open,
207,13440,2,Heveya Duvet Bag,1,Pcs,1,0,,,,open,
208,13439,1,Heveya Bamboo Bundle Crib Fitted Sheet - 95cm x 65cm x 10cm - Sand,1,Pcs,1,0,,,,open,95 x 65 x 10cm - Sand
209,13439,2,Heveya Toddler Pillow - Baby Donut - 30cm x 25cm x 5cm,1,Pcs,1,0,,,,open,
210,13439,3,Heveya Bamboo Bundle Crib Fitted Sheet - 95cm x 65cm x 10cm - Blush Mauve,1,Pcs,1,0,,,,open,95 x 65 x 10cm - blush mauve
211,13439,4,Heveya Bamboo Pillow Cases Set (2 Pillow Cases) - Baby Donut - Blush Mauve,1,Set,1,0,,,,open,
212,13439,5,Bamboo Bundle Fitted Sheet Set + 2 Pillow Cases - Custom Size (120cm x 200cm) - Blush Mauve,2,Set,2,0,,,,open,
213,13439,6,Linen Sheet Box,1,Pcs,1,0,,,,open,
214,13438,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,2,Pcs,2,0,,,,open,
215,13438,2,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
216,13438,3,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,1,0,,,,open,
217,13437,1,Bamboo Pillow Cases Set (2 Pillow Cases) - 50 cm x 75 cm - White,1,Set,1,0,,,,open,
