id,transaction_no,line,item,qty,unit,delivered,remain_qty,po_no,warehouse_option,delivery_date,status,description
372,13395,1,Bamboo Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - White,1,Set,1,0,,,,open,
373,13395,2,Bamboo Fitted Sheet Set + 2 Pillow Cases -  King (180cm x 200cm) -  White,1,Set,1,0,,,,open,
374,13395,3,Heveya Bamboo Cotton Organic Inner Duvet - King (240cm x 220cm),1,Pcs,1,0,,,,open,
375,13395,4,Heveya Sheet Bags,2,Pcs,2,0,,,,open,
376,13394,1,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,1,Pcs,1,0,,,,open,
377,13394,2,Bamboo Teak Pillow Mist - 5ml.,1,Pcs,1,0,,,,open,
378,13394,3,Heveya Pillow Bags,1,Pcs,1,0,,,,open,
379,13279,1,Heveya Hospitality Mattress - (W100cm x L200cm),18,Pcs,0,18,,,,open,Twin Mattress
380,13279,2,Heveya Natural Organic Latex Topper - Super Single  (W100cm x L200cm) - Soft,18,Pcs,0,18,,,,open,Twin Topper
381,13279,3,Heveya Hospitality Mattress - Super King (W200cm x L200cm),26,Pcs,0,26,,,,open,
382,13279,4,Heveya Natural Organic Latex Topper   -  Super King (W200cm x L200cm) - Soft,26,Pcs,0,26,,,,open,
383,13279,5,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 10cm) - Heveya 1,5,Pcs,0,5,,,,open,
384,13279,6,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 14.5cm) - Heveya 2,70,Pcs,0,70,,,,open,
385,13279,7,Heveya Natural Organic Latex Pillow - (70cm x 40cm x 12.5cm) - Heveya 4,5,Pcs,0,5,,,,open,
386,13279,8,Heveya Cushions Inserts + Linen Throw Pillow Cases -  Square  65*65cm - Olive,70,Set,0,70,,,,open,
387,13279,9,Heveya Natural Organic Latex Bolster - ( L92cm x ø22cm),6,Pcs,0,6,,,,open,
388,13279,10,Heveya Mattress Protector - Custom (W100cm x L200cm),18,Pcs,0,18,,,,open,
389,13279,11,Heveya Organic Inner Duvet - Size 160 x 210,18,Pcs,0,18,,,,open,
390,13279,12,Heveya Mattress Protector - Super King (200cm x 200cm),26,Pcs,0,26,,,,open,
391,13279,13,Heveya Bamboo Cotton Organic Inner Duvet - Super King (260cm x 230cm),26,Pcs,0,26,,,,open,
392,13279,14,Bamboo Cotton Fitted Sheet Set + 2 Pillow Cases - Custom (100cm x 200cm) - White,54,Pcs,0,54,,,,open,
393,13279,15,Bamboo Cotton Duvet Sheet Set + 2 Pillow Cases - Custom (160cm x 210cm) - White,54,Pcs,0,54,,,,open,
394,13279,16,Bamboo Cotton Fitted Sheet Set +  2 Pillow Cases - Super King (200cm x 200cm) - White,78,Set,0,78,,,,open,
395,13279,17,Bamboo Cotton Duvet  Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - White,78,Set,0,78,,,,open,
