quote_id,description,qty,unit,unit_price,discount,discounted_price,amount,notes,full_amount,unit_cost,total_cost,margin
1,Heveya Natural Organic Latex Mattress  I -  Super King (W200cm x L200cm) - Soft,1,Pcs,36000000,10,32400000,32400000,,36000000,11336764,11336764,17852425
1,Heveya Natural Organic Latex Mattress  I -  Super King (W200cm x L200cm) - Soft,1,Pcs,36000000,0,36000000,36000000,,36000000,11336764,11336764,21095668
