id,name,product_code,showroom_qty,warehouse_qty,product_categories_string,buy_account,sell_account,inventory_asset_account
45547037,Linen Cushion Cover Lumbar M - Size 80cm x 35cm - Charcoal Grey,NILMCG,9.0,0.0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,Inventory - Bed Accessories
56160538,Linen Cushion Cover Lumbar M - Size 80cm x 35cm - Hazelnut + Natural, NILMHN,0,0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,
45546912,Linen Cushion Cover Lumbar M - Size 80cm x 35cm - Natural,NILMN,0.0,0.0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,Inventory - Bed Accessories
56160470,Linen Cushion Cover Lumbar M - Size 80cm x 35cm - Olive Green, NILMOG,0,0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,
45547279,Linen Cushion Cover Lumbar M - Size 80cm x 35cm - Pinstripe + Charcoal Grey,NILM&IPCG,2.0,0.0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,Inventory - Bed Accessories
45547135,Linen Cushion Cover Square - Size 58cm x 58cm - Charcoal Grey, NISCG,13.0,7.0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,Inventory - Bed Accessories
56160848,Linen Cushion Cover Square - Size 58cm x 58cm - Hazelnut + Natural, NISHN,0,0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,
45546972,Linen Cushion Cover Square - Size 58cm x 58cm - Natural,NISN,15.0,0.0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,Inventory - Bed Accessories
56160800,Linen Cushion Cover Square - Size 58cm x 58cm - Olive Green, NISOG,0,0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,
45547333,Linen Cushion Cover Square - Size 58cm x 58cm - Pinstripe + Charcoal Grey,NISPS,4.0,7.0,"Linen Cushions Cover, Clelia",COGS - Bed Accessories,Sales - Bed Accessories,Inventory - Bed Accessories
51125601,Linen Cushion Cover Square - Size 65cm x 65cm - Black,,0,0,,Inventory - Bed Accessories,Sales - Mattress,Inventory - Mattress
51125608,Linen Cushion Cover Square - Size 65cm x 65cm - Natural,,0,0,,Inventory - Bed Accessories,Sales - Mattress,Inventory - Mattress
38638194,Linen Duvet Sheet + 1 Pillow Cases - Custom Size (178 x 229cm) - Natural,LSNCS178X229DU,0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
46796920,Linen Duvet Sheet + 1 Pillow Cases - Custom Size (180x230) - Natural, LSNCS180X230DU,0,0.0,,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
38518251,Linen Duvet Sheet + 2 Pillow Cases -  Custom Size (270cm x 213cm) - Natural,LSNCS270X213DU,0.0,0.0,,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
48184344,Linen Duvet Sheet + 2 Pillow Cases - Custom Size (200x220) - Natural,LSNCS2000X220DU,0,0,Bamboo Duvet Sheet,COGS - Mattress,Sales - Mattress,
38572654,Linen Duvet Sheet + 2 Pillow Cases - Custom Size (270cm x 213cm)- Natural,LSNCS213X270DU	,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
45199681,Linen Duvet Sheet + 2 Pillowcases - Custom Size (155cm x 220cm) - White,LSWCS155X220DU,0.0,0.0,,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
56204224,Linen Duvet Sheet - Custom Size 280 x 280 -  Olive,LSO2CS280X280DU,0.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
56230030,Linen Duvet Sheet - Custom Size 300 x 250 - Olive,LSO2CS300X250DU,0.0,2.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
56452894,Linen Duvet Sheet - King (240cm x 220cm) - Without Pillowcases - Natural,LSNK240X220WPDU,0,0.0,Duvet Sheet,COGS - Duvet and Mattress Protector,Sales - Duvet,Inventory - Bedsheets
32997054,Linen Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - Natural,LSN1S40X210DU,3.0,22.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
52442181,Linen Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - Olive,LSO1S40X210DU,0.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
58299212,Linen Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - Pinstripe,LSPS1S40X210DU,0,0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
33000239,Linen Duvet Sheet Set + 1 Pillow Case - Single (140cm x 210cm) - White,LSPW1S140X210DU,3.0,31.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33787471,Linen Duvet Sheet Set + 1 Pillow Case - Super Single (160cm x 210cm) - Natural,LSN1SS160X210DU,0.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
45126600,Linen Duvet Sheet Set + 1 Pillow Case - Super Single (160cm x 210cm) - Pinstriped,LSPPS1SS190X107DU,0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33787519,Linen Duvet Sheet Set + 1 Pillow Case - Super Single (160cm x 210cm) - White,LSPW1SS160X210DU,0.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
57264398,Linen Duvet Sheet Set + 2 Pillow Cases - Custom (180cm x 210cm) - Natural,,0,0,Linen Duvet Sheet,COGS - Mattress,Sales - Linen Bedsheet,
57263626,Linen Duvet Sheet Set + 2 Pillow Cases - Custom (280cm x 280cm) - Natural,,0,0,Linen Duvet Sheet,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
48325432,Linen Duvet Sheet Set + 2 Pillow Cases - Custom Size (200cm x 200cm) - Pinstriped,LSPSCS200X200DU,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
50426707,Linen Duvet Sheet Set + 2 Pillow Cases - Custom Size (215cm x 235cm) - Pinstriped,,0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
48193961,Linen Duvet Sheet Set + 2 Pillow Cases - Custom Size (260cm x 240cm) - Pinstriped,LSPSCS260X240DU,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
47781218,Linen Duvet Sheet Set + 2 Pillow Cases - Custom Size (280cm x 240cm) - Charcoal Grey,LSCGCS2280X240DU,0,0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
52071224,Linen Duvet Sheet Set + 2 Pillow Cases - Custom Size (290cm x 240cm) - Natural,,0,0.0,Linen Duvet Sheet,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
50695292,Linen Duvet Sheet Set + 2 Pillow Cases - Custom Size (290cm x 240cm) - Pinstriped,,0,0,,Inventory - Bedsheets,Sales - Linen Bedsheet,Inventory - Mattress
50626921,Linen Duvet Sheet Set + 2 Pillow Cases - Custom Size (L282cm x W370cm) - Pinstripe,,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
50626647,Linen Duvet Sheet Set + 2 Pillow Cases - Custom Size (L282cm x W370cm) - White,,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
33802057,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Charcoal Grey,LSCG2K240X220DU,3.0,18.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
41822688,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Hazelnut,LSHZ2K240X220DU	,2.0,3.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
55745808,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Mustard,LSM2K240X220DU,2.0,13.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
32997056,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Natural,LSN2K240X220DU,3.0,35.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
38430913,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Olive Stripe,LSOS2K240X220DU	,5.0,13.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
41822757,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Peach,LSP2K240X220DU,1.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33801867,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Pinstriped,LSPS2K240X220DU,4.0,24.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
50110594,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - Sky,LSS2K240X220DU,0.0,0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33000328,Linen Duvet Sheet Set + 2 Pillow Cases - King (240cm x 220cm) - White,LSPW2K240X220DU,5.0,43.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33000286,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm)  - White,LSPW2Q210X210DU,12.0,9.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
37679847,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Charcoal Grey,LSCG2Q210X210DU,5.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
41822662,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Hazelnut,LSHZ2Q210X210DU,5.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
58299488,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Mustard,LSM2Q210X210DU,2.0,3.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Bedsheets
32997055,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Natural,LSN2Q210X210DU,4.0,18.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
38430943,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Olive,LSO2Q210X210DU	,8.0,5.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
38430906,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Olive Stripe,LSOS2Q210X210DU,5.0,2.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
41822741,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Peach,LSP2Q210X210DU	,0.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
37679835,Linen Duvet Sheet Set + 2 Pillow Cases - Queen (210cm x 210cm) - Pinstriped,LSPS2Q210X210DU,3.0,5.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
38491106,Linen Duvet Sheet Set + 2 Pillow Cases - Size 280 x 240 - White - Hamish Millar,LSPWCS280X240DU,0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
33802154,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm)  - Charcoal Grey,LSCG2SK260X230DU,3.0,39.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
32997057,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm)  - Natural,LSN2SK260X230DU,0.0,25.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33000419,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm)  - White,LSPW2SK260X230DU,7.0,45.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
51309316,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Blue Fog, LSBF2SK260X230DU,0.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
41822723,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Hazelnut,LSHZ2SK260X230DU	,7.0,5.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
51903868,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Mustard,LSM2SK260X230DU,4.0,8.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
41822800,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Peach,LSP2SK260X230DU	,5.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
33801923,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Pinstriped,LSPS2SK260X230DU,5.0,35.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
51309259,Linen Duvet Sheet Set + 2 Pillow Cases - Super King (260cm x 230cm) - Sky,LSS2SK260X230DU,0.0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
47492415,Linen Duvet Sheet Set + 2 Pillow Cases with 2 Logos - King (240cm x 220cm) - Natural,,0,0.0,Linen Duvet Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
55058414,Linen Fabric - Size 85 x 85cm - Natural,,0.0,0.0,,COGS - Mattress,Sales - Linen Bedsheet,Inventory - Bedsheets
38430964,Linen Fitted  Sheet Set + 2 Pillow Cases - Super King (200cm x 200cm) - Olive,LSO2SK200X200FI,7.0,18.0,Linen Fitted Sheet,COGS - Bedsheet,Sales - Linen Bedsheet,Inventory - Mattress
